Core,ListA,ListB
ART 102,ART 101,ART 112
ART 103,ART 107,ART 116
ART 110,,ART 122
ART 120,,ART 136
ART 121,,ART 150
,,ART 162
,,PHOT 100
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
