Core,ListA,ListB
POL 101,POL 201,POL 230
,POL 210,POL 250
,POL 220,POL 280
,POL 240,POL 201
,PSYC 210,POL 210
,MATH 112,POL 220
,,POL 240
,,PSYC 210
,,MATH 112
