Core,ListA,ListB
AJ 101,AJ 103,SOC 101
AJ 102,AJ 104,PSYC 101
,AJ 105,PSYC 210
,AJ 107,MATH 112
,AJ 220,AJ 110
,AJ 222,AJ 113
,,AJ 173
,,AJ 202
,,AJ 208
,,AJ 221
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
