Core,ListA,ListB
EDEL 200,COMM 103,ART 100
CD 110,ENGL 103,DANC 101
BIOL 120,ENGL 110,MUS 100
PS 112,PHIL 103,TH 101
ESCI 110,PHIL 106,
MATH 110A,PSYC 103,
COMM 130,READ 103,
ENGL 100,READ 200,
ENGL 102,,
GEOG 105,,
HIST 102,,
HIST 245,,
POL 101,,
,,
,,
,,
,,
,,
,,
,,
,,
